Brand Name,Year,brandspend,branddose,brandclaims,nomchngspend,nomchngdose,nomchngclaims,perchngspend,perchngdose,perchngclaims
Carbidopa-Levodopa ER,2013,930319.7999999999,1754325.12,21686,-12730.449999999953,379057.8799999999,5374,-0.013683950400711575,0.21607048527014183,0.24780964677672235
Carbidopa-Levodopa ER,2014,886727.55,1766945.54,22650,-12730.449999999953,379057.8799999999,5374,-0.013683950400711575,0.21607048527014183,0.24780964677672235
Carbidopa-Levodopa ER,2015,1096633.14,1959282.031,24713,-12730.449999999953,379057.8799999999,5374,-0.013683950400711575,0.21607048527014183,0.24780964677672235
Carbidopa-Levodopa ER,2016,1052282.82,2094265.5,25895,-12730.449999999953,379057.8799999999,5374,-0.013683950400711575,0.21607048527014183,0.24780964677672235
Carbidopa-Levodopa ER,2017,917589.35,2133383,27060,-12730.449999999953,379057.8799999999,5374,-0.013683950400711575,0.21607048527014183,0.24780964677672235
Carbidopa-Levodopa-Entacapone,2013,453736.54,155073.12,1474,426369.11000000004,276785.88,2256,0.9396843154840473,1.7848733552275213,1.5305291723202172
Carbidopa-Levodopa-Entacapone,2014,912028.55,328221,3055,426369.11000000004,276785.88,2256,0.9396843154840473,1.7848733552275213,1.5305291723202172
Carbidopa-Levodopa-Entacapone,2015,930809.34,381351.15,3425,426369.11000000004,276785.88,2256,0.9396843154840473,1.7848733552275213,1.5305291723202172
Carbidopa-Levodopa-Entacapone,2016,1009882.62,446749,3860,426369.11000000004,276785.88,2256,0.9396843154840473,1.7848733552275213,1.5305291723202172
Carbidopa-Levodopa-Entacapone,2017,880105.65,431859,3730,426369.11000000004,276785.88,2256,0.9396843154840473,1.7848733552275213,1.5305291723202172
Carbinoxamine Maleate,2013,583755.27,2514372.775,24385,-195996.2,-711058.983,-6210,-0.3357506305681831,-0.2827977577827536,-0.2546647529218782
Carbinoxamine Maleate,2014,471700.74,2161338.365,20725,-195996.2,-711058.983,-6210,-0.3357506305681831,-0.2827977577827536,-0.2546647529218782
Carbinoxamine Maleate,2015,453490.95,2104877.92,19785,-195996.2,-711058.983,-6210,-0.3357506305681831,-0.2827977577827536,-0.2546647529218782
Carbinoxamine Maleate,2016,391600.93,1795468.847,17956,-195996.2,-711058.983,-6210,-0.3357506305681831,-0.2827977577827536,-0.2546647529218782
Carbinoxamine Maleate,2017,387759.07,1803313.792,18175,-195996.2,-711058.983,-6210,-0.3357506305681831,-0.2827977577827536,-0.2546647529218782
Carbocaine,2013,32558.69,15732.52,638,118214.82,27386.079999999998,688,3.630822370310354,1.7407306648903034,1.0783699059561127
Carbocaine,2014,19877.079999999998,15703.803,883,118214.82,27386.079999999998,688,3.630822370310354,1.7407306648903034,1.0783699059561127
Carbocaine,2015,73242.12,31173.136000000002,1287,118214.82,27386.079999999998,688,3.630822370310354,1.7407306648903034,1.0783699059561127
Carbocaine,2016,31406.54,34818,1429,118214.82,27386.079999999998,688,3.630822370310354,1.7407306648903034,1.0783699059561127
Carbocaine,2017,150773.51,43118.6,1326,118214.82,27386.079999999998,688,3.630822370310354,1.7407306648903034,1.0783699059561127
Carboplatin,2013,5440488.99,1982375.0159999998,52385,13335743.179999998,720283.8900000001,8017,2.4512030452615616,0.36334391030279223,0.1530399923642265
Carboplatin,2014,5777698.28,2165663.515,57249,13335743.179999998,720283.8900000001,8017,2.4512030452615616,0.36334391030279223,0.1530399923642265
Carboplatin,2015,12450560.38,2817909.5689999997,60257,13335743.179999998,720283.8900000001,8017,2.4512030452615616,0.36334391030279223,0.1530399923642265
Carboplatin,2016,12371393.280000001,2920133.692,64596,13335743.179999998,720283.8900000001,8017,2.4512030452615616,0.36334391030279223,0.1530399923642265
Carboplatin,2017,18776232.169999998,2702658.906,60402,13335743.179999998,720283.8900000001,8017,2.4512030452615616,0.36334391030279223,0.1530399923642265
Cardiolite,2013,267.17,42,21,61381.16,2535,316,229.74570498184676,60.357142857142854,15.047619047619047
Cardiolite,2014,1111.6,33,17,61381.16,2535,316,229.74570498184676,60.357142857142854,15.047619047619047
Cardiolite,2015,13254.12,388,201,61381.16,2535,316,229.74570498184676,60.357142857142854,15.047619047619047
Cardiolite,2016,45411.39,402.505,223,61381.16,2535,316,229.74570498184676,60.357142857142854,15.047619047619047
Cardiolite,2017,61648.33,2577,337,61381.16,2535,316,229.74570498184676,60.357142857142854,15.047619047619047
Cardura XL,2013,19013.11,7800,246,49618.09,6502,163,2.6096777434096787,0.8335897435897437,0.6626016260162602
Cardura XL,2014,21645.35,7812,241,49618.09,6502,163,2.6096777434096787,0.8335897435897437,0.6626016260162602
Cardura XL,2015,31784.52,10214,287,49618.09,6502,163,2.6096777434096787,0.8335897435897437,0.6626016260162602
Cardura XL,2016,45981.72,12017,349,49618.09,6502,163,2.6096777434096787,0.8335897435897437,0.6626016260162602
Cardura XL,2017,68631.2,14302,409,49618.09,6502,163,2.6096777434096787,0.8335897435897437,0.6626016260162602
Carimune NF Nanofiltered,2013,3548242.05,7427.634,1327,1207650.2999999998,2188.4140000000007,950,0.3403517243137344,0.2946313725205094,0.7159005275056518
Carimune NF Nanofiltered,2014,4203105.65,9526.58,1869,1207650.2999999998,2188.4140000000007,950,0.3403517243137344,0.2946313725205094,0.7159005275056518
Carimune NF Nanofiltered,2015,4316870.25,6046.958,1487,1207650.2999999998,2188.4140000000007,950,0.3403517243137344,0.2946313725205094,0.7159005275056518
Carimune NF Nanofiltered,2016,3454641.03,7988.81,1581,1207650.2999999998,2188.4140000000007,950,0.3403517243137344,0.2946313725205094,0.7159005275056518
Carimune NF Nanofiltered,2017,4755892.35,9616.048,2277,1207650.2999999998,2188.4140000000007,950,0.3403517243137344,0.2946313725205094,0.7159005275056518
Carisoprodol,2013,8549315.05,52157768.344,729086,-3959681.920000001,-22809381.343999997,-298929,-0.463157796483357,-0.4373151319198243,-0.41000512971034964
Carisoprodol,2014,6696004.41,44001911.132,636409,-3959681.920000001,-22809381.343999997,-298929,-0.463157796483357,-0.4373151319198243,-0.41000512971034964
Carisoprodol,2015,6673193.9,46533577.752000004,668130,-3959681.920000001,-22809381.343999997,-298929,-0.463157796483357,-0.4373151319198243,-0.41000512971034964
Carisoprodol,2016,5866199.5,39515806.14,564640,-3959681.920000001,-22809381.343999997,-298929,-0.463157796483357,-0.4373151319198243,-0.41000512971034964
Carisoprodol,2017,4589633.13,29348387,430157,-3959681.920000001,-22809381.343999997,-298929,-0.463157796483357,-0.4373151319198243,-0.41000512971034964
Carnitor,2013,501118.74,2042226.6,4281,94645.32000000007,-71268.00400000019,676,0.18886805151210284,-0.03489720680359376,0.1579070310675077
Carnitor,2014,411126.92,1618245.354,3361,94645.32000000007,-71268.00400000019,676,0.18886805151210284,-0.03489720680359376,0.1579070310675077
Carnitor,2015,363810.43,1424801.6,2858,94645.32000000007,-71268.00400000019,676,0.18886805151210284,-0.03489720680359376,0.1579070310675077
Carnitor,2016,391095.65,1498029.7,3388,94645.32000000007,-71268.00400000019,676,0.18886805151210284,-0.03489720680359376,0.1579070310675077
Carnitor,2017,595764.06,1970958.596,4957,94645.32000000007,-71268.00400000019,676,0.18886805151210284,-0.03489720680359376,0.1579070310675077
Carnitor SF,2013,302129.06,1188528.1,4248,264071.24000000005,534285.98,1581,0.8740345599327652,0.4495358418534656,0.37217514124293793
Carnitor SF,2014,344708.59,1346570,4758,264071.24000000005,534285.98,1581,0.8740345599327652,0.4495358418534656,0.37217514124293793
Carnitor SF,2015,367600.12,1442176.898,4984,264071.24000000005,534285.98,1581,0.8740345599327652,0.4495358418534656,0.37217514124293793
Carnitor SF,2016,770326.75,1675128.26,5592,264071.24000000005,534285.98,1581,0.8740345599327652,0.4495358418534656,0.37217514124293793
Carnitor SF,2017,566200.3,1722814.08,5829,264071.24000000005,534285.98,1581,0.8740345599327652,0.4495358418534656,0.37217514124293793
Carnitor*,2013,1588518.13,456751.277,11045,2674450.62,80656.66000000003,8160,1.6836135323176955,0.17658770552271497,0.7387958352195563
Carnitor*,2014,1965192.12,375239.397,11320,2674450.62,80656.66000000003,8160,1.6836135323176955,0.17658770552271497,0.7387958352195563
Carnitor*,2015,2662163.34,399513.983,14563,2674450.62,80656.66000000003,8160,1.6836135323176955,0.17658770552271497,0.7387958352195563
Carnitor*,2016,3807694.44,533972.201,17690,2674450.62,80656.66000000003,8160,1.6836135323176955,0.17658770552271497,0.7387958352195563
Carnitor*,2017,4262968.75,537407.937,19205,2674450.62,80656.66000000003,8160,1.6836135323176955,0.17658770552271497,0.7387958352195563
Carteolol HCl,2013,7106.03,2895,545,-559.9000000000005,41,29,-0.07879223701560512,0.014162348877374775,0.053211009174311874
Carteolol HCl,2014,6532.31,2705,513,-559.9000000000005,41,29,-0.07879223701560512,0.014162348877374775,0.053211009174311874
Carteolol HCl,2015,5906.57,2835,547,-559.9000000000005,41,29,-0.07879223701560512,0.014162348877374775,0.053211009174311874
Carteolol HCl,2016,5856.0599999999995,2836,555,-559.9000000000005,41,29,-0.07879223701560512,0.014162348877374775,0.053211009174311874
Carteolol HCl,2017,6546.129999999999,2936,574,-559.9000000000005,41,29,-0.07879223701560512,0.014162348877374775,0.053211009174311874
Cartia Xt,2013,1526617.5,2004128.463,54641,1790278.33,4344216.237,120630,1.1727091625767425,2.167633620899281,2.207682875496422
Cartia Xt,2014,1370038.33,2024511.001,54576,1790278.33,4344216.237,120630,1.1727091625767425,2.167633620899281,2.207682875496422
Cartia Xt,2015,2835525.53,4828216.078,134320,1790278.33,4344216.237,120630,1.1727091625767425,2.167633620899281,2.207682875496422
Cartia Xt,2016,2583166.74,4767483.4,131367,1790278.33,4344216.237,120630,1.1727091625767425,2.167633620899281,2.207682875496422
Cartia Xt,2017,3316895.83,6348344.7,175271,1790278.33,4344216.237,120630,1.1727091625767425,2.167633620899281,2.207682875496422
Carvedilol,2013,13429023.68,100983943.826,1594221,3551192.8900000006,73714719.067,1083325,0.2644416284177704,0.7299647476039741,0.6795325114899378
Carvedilol,2014,14082951.63,117907043.357,1846667,3551192.8900000006,73714719.067,1083325,0.2644416284177704,0.7299647476039741,0.6795325114899378
Carvedilol,2015,15710821.38,152817748.326,2316806,3551192.8900000006,73714719.067,1083325,0.2644416284177704,0.7299647476039741,0.6795325114899378
Carvedilol,2016,15248891.67,170835325.997,2595759,3551192.8900000006,73714719.067,1083325,0.2644416284177704,0.7299647476039741,0.6795325114899378
Carvedilol,2017,16980216.57,174698662.893,2677546,3551192.8900000006,73714719.067,1083325,0.2644416284177704,0.7299647476039741,0.6795325114899378
Catapres,2013,118281.3,66163.5,859,-6589.1600000000035,-18710.987999999998,-72,-0.05570753787792326,-0.2827992473191412,-0.08381839348079156
Catapres,2014,119966.67,59827.3,822,-6589.1600000000035,-18710.987999999998,-72,-0.05570753787792326,-0.2827992473191412,-0.08381839348079156
Catapres,2015,140817.99,68007.43,1083,-6589.1600000000035,-18710.987999999998,-72,-0.05570753787792326,-0.2827992473191412,-0.08381839348079156
