Brand Name,Year,brandspend,branddose,brandclaims,brandbens,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,perchngspend,perchngdose,perchngclaims,perchngbens
Acarbose,2013,8492598.620000001,15057638.5,126676,43030,1286551.5299999993,11280375.920000002,72446,10212,0.1514909143321787,0.7491464162856614,0.5718999652657173,0.23732279804787357
Acarbose,2014,8780156.81,17812074.5,151022,43420,1286551.5299999993,11280375.920000002,72446,10212,0.1514909143321787,0.7491464162856614,0.5718999652657173,0.23732279804787357
Acarbose,2015,8990758.83,19166912.5,162493,46586,1286551.5299999993,11280375.920000002,72446,10212,0.1514909143321787,0.7491464162856614,0.5718999652657173,0.23732279804787357
Acarbose,2016,8957901.36,22425205,179544,55703,1286551.5299999993,11280375.920000002,72446,10212,0.1514909143321787,0.7491464162856614,0.5718999652657173,0.23732279804787357
Acarbose,2017,9779150.15,26338014.42,199122,53242,1286551.5299999993,11280375.920000002,72446,10212,0.1514909143321787,0.7491464162856614,0.5718999652657173,0.23732279804787357
Accupril,2013,1057706.05,481214,7349,1447,1503075.59,148082,678,277,1.421071185136929,0.30772587663700557,0.09225744999319635,0.19143054595715273
Accupril,2014,1043445.3,414805,6048,1312,1503075.59,148082,678,277,1.421071185136929,0.30772587663700557,0.09225744999319635,0.19143054595715273
Accupril,2015,1121970.82,385162,5701,1076,1503075.59,148082,678,277,1.421071185136929,0.30772587663700557,0.09225744999319635,0.19143054595715273
Accupril,2016,2129447.52,628104,8133,1742,1503075.59,148082,678,277,1.421071185136929,0.30772587663700557,0.09225744999319635,0.19143054595715273
Accupril,2017,2560781.64,629296,8027,1724,1503075.59,148082,678,277,1.421071185136929,0.30772587663700557,0.09225744999319635,0.19143054595715273
Accuretic,2013,92285.54,42771,651,133,236531.51,41610,335,124,2.5630397784961763,0.9728554394332608,0.5145929339477726,0.9323308270676691
Accuretic,2014,76619.99,31393,465,105,236531.51,41610,335,124,2.5630397784961763,0.9728554394332608,0.5145929339477726,0.9323308270676691
Accuretic,2015,77105.43,27320,373,86,236531.51,41610,335,124,2.5630397784961763,0.9728554394332608,0.5145929339477726,0.9323308270676691
Accuretic,2016,282084.23,86664,961,225,236531.51,41610,335,124,2.5630397784961763,0.9728554394332608,0.5145929339477726,0.9323308270676691
Accuretic,2017,328817.05,84381,986,257,236531.51,41610,335,124,2.5630397784961763,0.9728554394332608,0.5145929339477726,0.9323308270676691
Acebutolol HCl,2013,3887177.33,11097324,134218,27692,-504094.53000000026,-515207,-21595,258,-0.12968138245445063,-0.04642623753257993,-0.1608949619276103,0.009316770186335404
Acebutolol HCl,2014,3523922.35,11259149,130774,27075,-504094.53000000026,-515207,-21595,258,-0.12968138245445063,-0.04642623753257993,-0.1608949619276103,0.009316770186335404
Acebutolol HCl,2015,2754429.1,10965031,123977,26480,-504094.53000000026,-515207,-21595,258,-0.12968138245445063,-0.04642623753257993,-0.1608949619276103,0.009316770186335404
Acebutolol HCl,2016,3700441.3600000003,10804968.7,119448,25200,-504094.53000000026,-515207,-21595,258,-0.12968138245445063,-0.04642623753257993,-0.1608949619276103,0.009316770186335404
Acebutolol HCl,2017,3383082.8,10582117,112623,27950,-504094.53000000026,-515207,-21595,258,-0.12968138245445063,-0.04642623753257993,-0.1608949619276103,0.009316770186335404
Acetaminophen-Codeine,2013,18873379.73,93637917.634,1475837,688787,21794052.819999997,110757764.59400001,2105224,1159151,1.1547509313002096,1.1828302827804853,1.4264610522706775,1.6828874528700455
Acetaminophen-Codeine,2014,17940757.900000002,93907281.689,1507985,767458,21794052.819999997,110757764.59400001,2105224,1159151,1.1547509313002096,1.1828302827804853,1.4264610522706775,1.6828874528700455
Acetaminophen-Codeine,2015,29099221.79,141866384.761,2367900,1335828,21794052.819999997,110757764.59400001,2105224,1159151,1.1547509313002096,1.1828302827804853,1.4264610522706775,1.6828874528700455
Acetaminophen-Codeine,2016,43739039.49,195305361.085,3394224,1746685,21794052.819999997,110757764.59400001,2105224,1159151,1.1547509313002096,1.1828302827804853,1.4264610522706775,1.6828874528700455
Acetaminophen-Codeine,2017,40667432.55,204395682.22800002,3581061,1847938,21794052.819999997,110757764.59400001,2105224,1159151,1.1547509313002096,1.1828302827804853,1.4264610522706775,1.6828874528700455
Acetasol HC,2013,360808.84,20280,1974,1530,-344796.51,-18855,-1838,-1418,-0.9556210152722422,-0.9297337278106509,-0.9311043566362716,-0.9267973856209151
Acetasol HC,2014,150393.92,10580,1023,780,-344796.51,-18855,-1838,-1418,-0.9556210152722422,-0.9297337278106509,-0.9311043566362716,-0.9267973856209151
Acetasol HC,2015,76243,5965,564,462,-344796.51,-18855,-1838,-1418,-0.9556210152722422,-0.9297337278106509,-0.9311043566362716,-0.9267973856209151
Acetasol HC,2016,44388.51,3935,374,306,-344796.51,-18855,-1838,-1418,-0.9556210152722422,-0.9297337278106509,-0.9311043566362716,-0.9267973856209151
Acetasol HC,2017,16012.33,1425,136,112,-344796.51,-18855,-1838,-1418,-0.9556210152722422,-0.9297337278106509,-0.9311043566362716,-0.9267973856209151
Acetazolamide,2013,15804001.56,15102922.280000001,253430,94895,19835656.269999996,2767520.921,41756,21317,1.2551034112907284,0.1832440682466387,0.16476344552736455,0.2246377575214711
Acetazolamide,2014,27968787.94,15753262.5,263373,99551,19835656.269999996,2767520.921,41756,21317,1.2551034112907284,0.1832440682466387,0.16476344552736455,0.2246377575214711
Acetazolamide,2015,33382723.65,16379334.428,270526,104031,19835656.269999996,2767520.921,41756,21317,1.2551034112907284,0.1832440682466387,0.16476344552736455,0.2246377575214711
Acetazolamide,2016,35223639.67,18018526.713,297296,112094,19835656.269999996,2767520.921,41756,21317,1.2551034112907284,0.1832440682466387,0.16476344552736455,0.2246377575214711
Acetazolamide,2017,35639657.83,17870443.201,295186,116212,19835656.269999996,2767520.921,41756,21317,1.2551034112907284,0.1832440682466387,0.16476344552736455,0.2246377575214711
Acetic Acid*,2013,599691.0900000001,17444006.8,26806,15593,795442.5799999998,29538816.359999996,40082,20803,1.3264205409488403,1.6933504268067583,1.4952622547190928,1.3341242865388314
Acetic Acid*,2014,466520.64,18084554.33,23339,12644,795442.5799999998,29538816.359999996,40082,20803,1.3264205409488403,1.6933504268067583,1.4952622547190928,1.3341242865388314
Acetic Acid*,2015,474969.79000000004,19487857,24633,13454,795442.5799999998,29538816.359999996,40082,20803,1.3264205409488403,1.6933504268067583,1.4952622547190928,1.3341242865388314
Acetic Acid*,2016,641493.5,18614941.33,30873,18977,795442.5799999998,29538816.359999996,40082,20803,1.3264205409488403,1.6933504268067583,1.4952622547190928,1.3341242865388314
Acetic Acid*,2017,1395133.67,46982823.16,66888,36396,795442.5799999998,29538816.359999996,40082,20803,1.3264205409488403,1.6933504268067583,1.4952622547190928,1.3341242865388314
Acetic Acid-Aluminum,2013,319470.77,324115,5283,3868,-237918.68000000002,-236402,-3855,-2630,-0.744727537984148,-0.7293769186862687,-0.7296990346394094,-0.6799379524301965
Acetic Acid-Aluminum,2014,254718.58,268015,4393,3227,-237918.68000000002,-236402,-3855,-2630,-0.744727537984148,-0.7293769186862687,-0.7296990346394094,-0.6799379524301965
Acetic Acid-Aluminum,2015,272722.06,284784,4633,3348,-237918.68000000002,-236402,-3855,-2630,-0.744727537984148,-0.7293769186862687,-0.7296990346394094,-0.6799379524301965
Acetic Acid-Aluminum,2016,254673.41,273549,4454,3335,-237918.68000000002,-236402,-3855,-2630,-0.744727537984148,-0.7293769186862687,-0.7296990346394094,-0.6799379524301965
Acetic Acid-Aluminum,2017,81552.09,87713,1428,1238,-237918.68000000002,-236402,-3855,-2630,-0.744727537984148,-0.7293769186862687,-0.7296990346394094,-0.6799379524301965
Acetylcysteine*,2013,1422998.42,572492.5,8399,4452,917356.5499999998,1698150.96,20545,5326,0.6446644895080065,2.966241409276104,2.446124538635552,1.1963162623539982
Acetylcysteine*,2014,1118706.6600000001,738563.5,11006,4585,917356.5499999998,1698150.96,20545,5326,0.6446644895080065,2.966241409276104,2.446124538635552,1.1963162623539982
Acetylcysteine*,2015,968620.33,815223.496,12369,4554,917356.5499999998,1698150.96,20545,5326,0.6446644895080065,2.966241409276104,2.446124538635552,1.1963162623539982
Acetylcysteine*,2016,1379112.4100000001,1280787.5,17476,5522,917356.5499999998,1698150.96,20545,5326,0.6446644895080065,2.966241409276104,2.446124538635552,1.1963162623539982
Acetylcysteine*,2017,2340354.9699999997,2270643.46,28944,9778,917356.5499999998,1698150.96,20545,5326,0.6446644895080065,2.966241409276104,2.446124538635552,1.1963162623539982
Aciphex,2013,117371070.4,11468006,228394,60087,-92066009.32000001,-9972987,-206451,-55626,-0.78440120726717,-0.8696356629042573,-0.9039247966233789,-0.9257576514054621
Aciphex,2014,32473502.72,2768705,49210,11838,-92066009.32000001,-9972987,-206451,-55626,-0.78440120726717,-0.8696356629042573,-0.9039247966233789,-0.9257576514054621
Aciphex,2015,30715984.1,2200650,36331,7177,-92066009.32000001,-9972987,-206451,-55626,-0.78440120726717,-0.8696356629042573,-0.9039247966233789,-0.9257576514054621
Aciphex,2016,27837299.79,1797313,28163,5501,-92066009.32000001,-9972987,-206451,-55626,-0.78440120726717,-0.8696356629042573,-0.9039247966233789,-0.9257576514054621
Aciphex,2017,25305061.08,1495019,21943,4461,-92066009.32000001,-9972987,-206451,-55626,-0.78440120726717,-0.8696356629042573,-0.9039247966233789,-0.9257576514054621
Acitretin,2013,10261958.99,391098,10344,4489,15508892.589999998,904403,23903,6400,1.5112994122382473,2.3124715544441545,2.3108081979891724,1.4257072844731566
Acitretin,2014,33168173.1,1311375,35054,10579,15508892.589999998,904403,23903,6400,1.5112994122382473,2.3124715544441545,2.3108081979891724,1.4257072844731566
Acitretin,2015,30933433.04,1287670,34369,8907,15508892.589999998,904403,23903,6400,1.5112994122382473,2.3124715544441545,2.3108081979891724,1.4257072844731566
Acitretin,2016,21432986.92,1038253,27856,8458,15508892.589999998,904403,23903,6400,1.5112994122382473,2.3124715544441545,2.3108081979891724,1.4257072844731566
Acitretin,2017,25770851.58,1295501,34247,10889,15508892.589999998,904403,23903,6400,1.5112994122382473,2.3124715544441545,2.3108081979891724,1.4257072844731566
Actemra*,2013,6774144.99,88210.9,4052,649,79625894.02000001,63106.80000000002,23227,4052,11.754382898143431,0.7154081865166325,5.732230997038499,6.243451463790447
Actemra*,2014,24667721.03,113241.3,12040,2187,79625894.02000001,63106.80000000002,23227,4052,11.754382898143431,0.7154081865166325,5.732230997038499,6.243451463790447
Actemra*,2015,43506165.44,119324.5,17896,2925,79625894.02000001,63106.80000000002,23227,4052,11.754382898143431,0.7154081865166325,5.732230997038499,6.243451463790447
Actemra*,2016,61489156.8,137157.2,22165,3499,79625894.02000001,63106.80000000002,23227,4052,11.754382898143431,0.7154081865166325,5.732230997038499,6.243451463790447
