Brand Name,Year,brandspend,branddose,brandclaims,avgspendperclaim,nomchngspend,nomchngdose,nomchngclaims,nomchngspendperclaim,perchngspend,perchngdose,perchngclaims
Urea,2015,57810,63922.575000000004,646,89.48916408668731,2297580,2753222.8249999997,24390,23.819714296517475,32.589787234042554,16.772101884228167,24.005905511811022
Urea,2016,419400,513513.433,4578,91.61205766710354,2297580,2753222.8249999997,24390,23.819714296517475,32.589787234042554,16.772101884228167,24.005905511811022
Urea,2017,2368080,2917377.732,25406,93.20947807604503,2297580,2753222.8249999997,24390,23.819714296517475,32.589787234042554,16.772101884228167,24.005905511811022
Urin D.S.,2013,603,1067,31,19.451612903225808,3267,6245,85,13.91045606229143,5.417910447761194,5.8528584817244615,2.7419354838709675
Urin D.S.,2014,406,731,19,21.36842105263158,3267,6245,85,13.91045606229143,5.417910447761194,5.8528584817244615,2.7419354838709675
Urin D.S.,2015,1030,2089,36,28.61111111111111,3267,6245,85,13.91045606229143,5.417910447761194,5.8528584817244615,2.7419354838709675
Urin D.S.,2016,2070,3776,68,30.441176470588236,3267,6245,85,13.91045606229143,5.417910447761194,5.8528584817244615,2.7419354838709675
Urin D.S.,2017,3870,7312,116,33.36206896551724,3267,6245,85,13.91045606229143,5.417910447761194,5.8528584817244615,2.7419354838709675
Urocit-K,2013,377000,239747.94,2946,127.97012898845892,-289300,-202618.94,-2546,91.27987101154108,-0.7673740053050397,-0.8451331844603127,-0.8642226748133062
Urocit-K,2014,323000,136722,1700,190,-289300,-202618.94,-2546,91.27987101154108,-0.7673740053050397,-0.8451331844603127,-0.8642226748133062
Urocit-K,2015,142000,50247,579,245.2504317789292,-289300,-202618.94,-2546,91.27987101154108,-0.7673740053050397,-0.8451331844603127,-0.8642226748133062
Urocit-K,2016,108000,38898,436,247.70642201834863,-289300,-202618.94,-2546,91.27987101154108,-0.7673740053050397,-0.8451331844603127,-0.8642226748133062
Urocit-K,2017,87700,37129,400,219.25,-289300,-202618.94,-2546,91.27987101154108,-0.7673740053050397,-0.8451331844603127,-0.8642226748133062
Urogesic-Blue,2013,158000,90513,2625,60.19047619047619,-17000,-47358,-1683,89.4910524719442,-0.10759493670886078,-0.523217659341752,-0.6411428571428571
Urogesic-Blue,2014,122000,67981,2102,58.03996194100856,-17000,-47358,-1683,89.4910524719442,-0.10759493670886078,-0.523217659341752,-0.6411428571428571
Urogesic-Blue,2015,171000,55379,1658,103.13630880579011,-17000,-47358,-1683,89.4910524719442,-0.10759493670886078,-0.523217659341752,-0.6411428571428571
Urogesic-Blue,2016,133000,42608,1032,128.87596899224806,-17000,-47358,-1683,89.4910524719442,-0.10759493670886078,-0.523217659341752,-0.6411428571428571
Urogesic-Blue,2017,141000,43155,942,149.6815286624204,-17000,-47358,-1683,89.4910524719442,-0.10759493670886078,-0.523217659341752,-0.6411428571428571
Urso,2013,93800,30922.8,364,257.6923076923077,-47000,-18147.8,-189,9.736263736263766,-0.5010660980810235,-0.5868744098205855,-0.5192307692307692
Urso,2014,71300,22621.2,278,256.47482014388487,-47000,-18147.8,-189,9.736263736263766,-0.5010660980810235,-0.5868744098205855,-0.5192307692307692
Urso,2015,93000,31486,335,277.6119402985075,-47000,-18147.8,-189,9.736263736263766,-0.5010660980810235,-0.5868744098205855,-0.5192307692307692
Urso,2016,77900,20456.4,233,334.3347639484979,-47000,-18147.8,-189,9.736263736263766,-0.5010660980810235,-0.5868744098205855,-0.5192307692307692
Urso,2017,46800,12775,175,267.42857142857144,-47000,-18147.8,-189,9.736263736263766,-0.5010660980810235,-0.5868744098205855,-0.5192307692307692
Urso Forte,2013,66400,13073,167,397.6047904191617,58600,3423.7999999999993,101,68.81312002859949,0.8825301204819278,0.2618985695708711,0.6047904191616766
